Table,Field,Code,QC Name,QC Description,Message,Expression,Type of QC,Severity Level,Creation Mode,Status,Valid
dcMetadata,,T001,T001,"When a table is marked as mandatory, checks at least one record is added",Mandatory table has no records. [T001],,TABLE,BLOCKER,TRUE,TRUE,TRUE
dcMetadata,title,V019,V019,Checks if the field is missing or empty,The value must not be missing or empty. [V019],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Document,documentCode,V102,V102,Checks if the field is missing or empty,The value must not be missing or empty. [V102],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Document,,TU101,TU101,Checks if documentCode must be unique within table,The field documentCode must be unqiue within table. [TU101],,TABLE,BLOCKER,TRUE,TRUE,TRUE
Document,documentName,V104,V104,Checks if the field is missing or empty,The value must not be missing or empty. [V104],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Document,hyperlink,V105,V105,Checks if the field is a valid URL,The value does not follow the expected syntax for a valid URL. [V105],,FIELD,BLOCKER,TRUE,TRUE,TRUE
dcMetadata,creatorOrganisationName,V005,V005,Checks if the field is missing or empty,The value must not be missing or empty. [V005],,FIELD,BLOCKER,TRUE,TRUE,TRUE
dcMetadata,licenseDocument,V013,V013,The value is not a valid member of the referenced list,The value is not a valid member of the referenced list. [V013],,FIELD,BLOCKER,TRUE,TRUE,TRUE
dcMetadata,metadataDocument,V015,V015,The value is not a valid member of the referenced list,The value is not a valid member of the referenced list. [V015],,FIELD,BLOCKER,TRUE,TRUE,TRUE
dcMetadata,creatorElectronicMailAddress,V002,V002,Checks if the field is missing or empty,The value must not be missing or empty. [V002],,FIELD,BLOCKER,TRUE,TRUE,TRUE
dcMetadata,creatorElectronicMailAddress,V003,V003,Checks if the field is a valid EMAIL,The value does not follow the expected syntax for a valid email. [V003],,FIELD,BLOCKER,TRUE,TRUE,TRUE
dcMetadata,creatorOrganisationName,V004,V004,The length of the value must be <= 4000,The length of the value must be <= 4000. [V004],( LEN( creatorOrganisationName ) <= 4000 ),FIELD,BLOCKER,FALSE,TRUE,TRUE
