Table,Field,Code,QC Name,QC Description,Message,Expression,Type of QC,Severity Level,Creation Mode,Status,Valid
MonitoringProgrammes,gwChemicalMonitoringReference,V401,V401,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V401],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,gwQuantitativeMonitoringReference,V402,V402,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V402],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,swChemicalMonitoringReference,V403,V403,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V403],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,swEcologicalMonitoringReference,V404,V404,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V404],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,programmesReference,V405,V405,Checks if the field is missing or empty,The value must not be missing or empty [V405],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,programmesReference,V406,V406,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V406],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,investigativeMonitoringReference,V407,V407,Checks if the field is missing or empty,The value must not be missing or empty [V407],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,investigativeMonitoringReference,V408,V408,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V408],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,surveillanceMonitoringReference,V409,V409,Checks if the field is missing or empty,The value must not be missing or empty [V409],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,surveillanceMonitoringReference,V410,V410,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V410],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,operationalMonitoringReference,V411,V411,Checks if the field is missing or empty,The value must not be missing or empty [V411],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringProgrammes,operationalMonitoringReference,V412,V412,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V412],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Monitoring,lastMonitored,V415,V415,Checks if the field is a valid NUMBER - INTEGER,The value is not a valid whole number [V415],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Monitoring,euMonitoringSiteCode,V416,V416,Checks if the field is missing or empty,The value must not be missing or empty [V416],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Monitoring,parameterCode,V417,V417,Checks if the field is missing or empty,The value must not be missing or empty [V417],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Monitoring,parameterCode,V418,V418,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V418],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Monitoring,frequency,V419,V419,Checks if the field is missing or empty,The value must not be missing or empty [V419],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Monitoring,frequency,V420,V420,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V420],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Monitoring,lastMonitored,V421,V421,Checks if the field is missing or empty,The value must not be missing or empty [V421],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Monitoring,cycle,V422,V422,Checks if the field is missing or empty,The value must not be missing or empty [V422],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Monitoring,cycle,V423,V423,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V423],,FIELD,BLOCKER,TRUE,TRUE,TRUE
Monitoring,,TU400,TU400,"Checks if euMonitoringSiteCode, parameterCode and chemicalMatrix are uniques within table [TU400]","Uniqueness and multiplicity constraints - The fields euMonitoringSiteCode, parameterCode and chemicalMatrix are uniques within table [TU400]",,TABLE,BLOCKER,TRUE,TRUE,TRUE
Monitoring,lastMonitored,V426,V426,The value must follow the YYYY format.,The value must follow the YYYY format. [V426],"WITH Dataset AS (
    select  record_id,
            lastmonitored,
             ('^\d{4}$'
                
            ) as regexp
    from    dataset_44489.""monitoring""
    where   coalesce(lastmonitored, '') <> ''
)
select  record_id,
        lastmonitored
from    Dataset
where   NOT REGEXP_COL_LIKE(lastmonitored, regexp) 
",FIELD,BLOCKER,FALSE,TRUE,TRUE
MonitoringProgrammes,euRBDCode,RF401_WFD,RF401_WFD,The euRBDCode must match a RiverBasinDistrict in the reference where wiseevolutiontype != 'deletion',The euRBDCode must match a RiverBasinDistrict in the reference where wiseevolutiontype != 'deletion' [RF401_WFD],"select
    record_id,
    MP.""eurbdcode""
from
    dataset_44489.""monitoringprogrammes"" MP
where
    NOT EXISTS (
        select
            1
        from
            dataset_37016.""riverbasindistrictwfd"" rbd
        where
            MP.""eurbdcode"" = rbd.""thematicididentifier""
            and rbd.""wiseevolutiontype"" <> 'deletion'
    )    and exists (
                select  0
                from    dataset_37016.""country"" C
                where   countryCode = '{%R3_COUNTRY_CODE%}'
                        and reportingType = 'WFD'
                )",FIELD,BLOCKER,FALSE,TRUE,TRUE
MonitoringPurpose,euMonitoringSiteCode,V425,V425,Checks if the field is missing or empty,The value must not be missing or empty [V425],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringPurpose,monitoringPurpose,V427,V427,Checks if the field is missing or empty,The value must not be missing or empty [V427],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringPurpose,monitoringPurpose,V428,V428,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V428],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringPurpose,includesMonitoringData,XC410_WFD,XC410_WFD,euMonitoringSiteCode must exist in the Spatial dataset if includesSpatialData = 'yes' with wisevolutiontype != 'deletion' and includesMonitoringData = 'yes',euMonitoringSiteCode must exist in the Spatial dataset if includesSpatialData = 'yes' with wisevolutiontype != 'deletion' and includesMonitoringData = 'yes' [XC410],"SELECT MP.record_id, MP.""eumonitoringsitecode"", MP.""monitoringpurpose""
FROM dataset_44489.""monitoringpurpose"" MP
LEFT JOIN dataset_37015.""monitoringsite"" MS
    ON MS.""thematicididentifier"" = MP.""eumonitoringsitecode""
    AND MS.""wiseevolutiontype"" <> 'deletion'
JOIN dataset_37016.""relatedzonewfd"" RZ
    ON RZ.""thematicididentifier"" = MS.""featureofinterestidentifier""
WHERE EXISTS (
        SELECT 1
        FROM dataset_37014.""dcmetadata"" DC
        WHERE DC.""includesspatialdata"" = 'yes'
            AND DC.""includesmonitoringdata"" = 'yes'
            AND DC.""eurbdcode"" = RZ.""relatedzoneidentifier""
    )
    AND MS.""thematicididentifier"" IS NULL
 and exists (
                select  0
                from    dataset_37016.""country"" C
                where   countryCode = '{%R3_COUNTRY_CODE%}'
                        and reportingType = 'WFD'
                )",RECORD,BLOCKER,FALSE,TRUE,TRUE
MonitoringPurpose,wisevolutiontype,XC410_WFD,XC410_WFD,euMonitoringSiteCode must exist in the Spatial dataset if includesSpatialData = 'yes' with wisevolutiontype != 'deletion' and includesMonitoringData = 'yes',euMonitoringSiteCode must exist in the Spatial dataset if includesSpatialData = 'yes' with wisevolutiontype != 'deletion' and includesMonitoringData = 'yes' [XC410],"SELECT MP.record_id, MP.""eumonitoringsitecode"", MP.""monitoringpurpose""
FROM dataset_44489.""monitoringpurpose"" MP
LEFT JOIN dataset_37015.""monitoringsite"" MS
    ON MS.""thematicididentifier"" = MP.""eumonitoringsitecode""
    AND MS.""wiseevolutiontype"" <> 'deletion'
JOIN dataset_37016.""relatedzonewfd"" RZ
    ON RZ.""thematicididentifier"" = MS.""featureofinterestidentifier""
WHERE EXISTS (
        SELECT 1
        FROM dataset_37014.""dcmetadata"" DC
        WHERE DC.""includesspatialdata"" = 'yes'
            AND DC.""includesmonitoringdata"" = 'yes'
            AND DC.""eurbdcode"" = RZ.""relatedzoneidentifier""
    )
    AND MS.""thematicididentifier"" IS NULL
 and exists (
                select  0
                from    dataset_37016.""country"" C
                where   countryCode = '{%R3_COUNTRY_CODE%}'
                        and reportingType = 'WFD'
                )",RECORD,BLOCKER,FALSE,TRUE,TRUE
MonitoringPurpose,includesSpatialData,XC410_WFD,XC410_WFD,euMonitoringSiteCode must exist in the Spatial dataset if includesSpatialData = 'yes' with wisevolutiontype != 'deletion' and includesMonitoringData = 'yes',euMonitoringSiteCode must exist in the Spatial dataset if includesSpatialData = 'yes' with wisevolutiontype != 'deletion' and includesMonitoringData = 'yes' [XC410],"SELECT MP.record_id, MP.""eumonitoringsitecode"", MP.""monitoringpurpose""
FROM dataset_44489.""monitoringpurpose"" MP
LEFT JOIN dataset_37015.""monitoringsite"" MS
    ON MS.""thematicididentifier"" = MP.""eumonitoringsitecode""
    AND MS.""wiseevolutiontype"" <> 'deletion'
JOIN dataset_37016.""relatedzonewfd"" RZ
    ON RZ.""thematicididentifier"" = MS.""featureofinterestidentifier""
WHERE EXISTS (
        SELECT 1
        FROM dataset_37014.""dcmetadata"" DC
        WHERE DC.""includesspatialdata"" = 'yes'
            AND DC.""includesmonitoringdata"" = 'yes'
            AND DC.""eurbdcode"" = RZ.""relatedzoneidentifier""
    )
    AND MS.""thematicididentifier"" IS NULL
 and exists (
                select  0
                from    dataset_37016.""country"" C
                where   countryCode = '{%R3_COUNTRY_CODE%}'
                        and reportingType = 'WFD'
                )",RECORD,BLOCKER,FALSE,TRUE,TRUE
