Table,Field,Code,QC Name,QC Description,Message,Expression,Type of QC,Severity Level,Creation Mode,Status,Valid
MonitoringSite,inspireIdLocalId,V212,V212,Checks if the field is missing or empty,The value must not be missing or empty. [V212],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,inspireIdNamespace,V214,V214,Checks if the field is missing or empty,The value must not be missing or empty. [V214],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,thematicIdIdentifier,V250,V250,Checks if the field is missing or empty,The value must not be missing or empty. [V250],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,thematicIdIdentifierScheme,V252,V252,Checks if the field is missing or empty,The value must not be missing or empty. [V252],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,wiseEvolutionType,V254,V254,Checks if the field is missing or empty,The value must not be missing or empty. [V254],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,nameText,V227,V227,Checks if the field is missing or empty,The value must not be missing or empty. [V227],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,nameLanguage,V225,V225,Checks if the field is missing or empty,The value must not be missing or empty. [V225],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,operationalActivityPeriodBegin,V232,V232,Checks if the field is missing or empty,The value must not be missing or empty. [V232],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,featureOfInterestIdentifier,V207,V207,Checks if the field is missing or empty,The value must not be missing or empty. [V207],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,featureOfInterestIdentifierScheme,V209,V209,Checks if the field is missing or empty,The value must not be missing or empty. [V209],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,mediaMonitoredBiota,V219,V219,Checks if the field is missing or empty,The value must not be missing or empty. [V219],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,mediaMonitoredWater,V223,V223,Checks if the field is missing or empty,The value must not be missing or empty. [V223],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,mediaMonitoredSediment,V221,V221,Checks if the field is missing or empty,The value must not be missing or empty. [V221],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,confidentialityStatus,V204,V204,Checks if the field is missing or empty,The value must not be missing or empty. [V204],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,thematicIdIdentifierScheme,V253,V253,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V253],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,supersedesIdentifierScheme,V245,V245,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V245],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,supersededByIdentifierScheme,V240,V240,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V240],,FIELD,BLOCKER,TRUE,FALSE,TRUE
MonitoringSite,wiseEvolutionType,V255,V255,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V255],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,nameLanguage,V226,V226,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V226],,FIELD,BLOCKER,TRUE,TRUE,TRUE
MonitoringSite,featureOfInterestIdentifierScheme,V210,V210,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V210],,FIELD,BLOCKER,TRUE,TRUE,TRUE
