Table,Field,Code,QC Name,QC Description,Message,Expression,Type of QC,Severity Level,Creation Mode,Status,Valid
dcMetadata,title,V100,V100,Checks if the field is missing or empty,The value must not be missing or empty [V100],,FIELD,BLOCKER,true,true,true
dcMetadata,creatorElectronicMailAddress,V108,V108,Checks if the field is missing or empty,The value must not be missing or empty [V108],,FIELD,BLOCKER,true,true,true
dcMetadata,creatorElectronicMailAddress,V109,V109,Checks if the field is a valid EMAIL,The value does not follow the expected syntax for a valid email [V109],,FIELD,BLOCKER,true,true,true
dcMetadata,creatorOrganisationName,V102,V102,Checks if the field is missing or empty,The value must not be missing or empty [V102],,FIELD,BLOCKER,true,true,true
dcMetadata,,TU100,TU100,dcMetadata must have one record only. ,dcMetadata must have one record only. [TU100],"select  record_id
from    (
        select  record_id
        from    dataset_46377.dcMetadata
        limit 1
        ) AS A
where   ( select count(*) from dataset_46377.dcMetadata ) <> 1",TABLE,BLOCKER,false,true,true
dcMetadata,creatorOrganisationName,V110,V110,The length of the value must be <= 4000. ,The length of the value must be <= 4000. [V110],( LEN( creatorOrganisationName ) <= 4000 ),FIELD,BLOCKER,false,true,true
dcMetadata,description,V111,V111,The length of the value must be <= 4000. ,The length of the value must be <= 4000. [V111],( LEN( description ) <= 4000 ),FIELD,BLOCKER,false,true,true
dcMetadata,language,V112,V112,"""language"" contains duplicate values","""language"" contains duplicate values [V112]","WITH IndividualLanguage as (
    select  record_id,
            TRIM(FLATTEN(REGEXP_SPLIT(""language"", chr(59), 'ALL', 999))) as oneLanguage
    from    dataset_46377.dcMetadata
),

Duplicates as (
    select  IL.record_id
    from    IndividualLanguage IL
    group by IL.record_id, IL.oneLanguage
    having  count(*) > 1
)

select  M.record_id,
        M.""language""
from    dataset_46377.dcMetadata M
join     Duplicates D 
ON M.record_id = D.record_id

",FIELD,BLOCKER,false,true,true
dcMetadata,licenseDocument,V113,V113,"""licenseDocument"" contains duplicate values. ","""licenseDocument"" contains duplicate values. [V113]","WITH IndividualDocument AS (
    SELECT
        record_id,
        TRIM(FLATTEN(REGEXP_SPLIT(""licensedocument"", chr(59), 'ALL', 999))) as oneDocument
    FROM dataset_46377.dcMetadata
),

Duplicates AS (
    SELECT
        record_id
    FROM IndividualDocument
    GROUP BY record_id, oneDocument
    HAVING count(*) > 1
)

SELECT
    M.record_id,
    M.licenseDocument
FROM dataset_46377.dcMetadata M
join Duplicates D 
ON M.record_id = D.record_id



",FIELD,BLOCKER,false,true,true
dcMetadata,metadataDocument,V114,V114,"""metadataDocument"" contains duplicate values","""metadataDocument"" contains duplicate values [V114]","WITH IndividualDocument AS (
    SELECT
        record_id,
         TRIM(FLATTEN(REGEXP_SPLIT(""metadatadocument"", chr(59), 'ALL', 999))) as oneDocument
    FROM dataset_46377.dcMetadata
),

Duplicates AS (
    SELECT
        record_id
    FROM IndividualDocument
    GROUP BY record_id, oneDocument
    HAVING count(*) > 1
)

SELECT
    M.record_id,
    M.metadataDocument
FROM dataset_46377.dcMetadata M
join Duplicates D 
ON M.record_id = D.record_id
",FIELD,BLOCKER,false,true,true
dcMetadata,rights,V115,V115,The length of the value must be <= 4000,The length of the value must be <= 4000 [V115],( LEN( rights ) <= 4000 ),FIELD,BLOCKER,false,true,true
dcMetadata,rightsHolder,V116,V116,The length of the value must be <= 4000,The length of the value must be <= 4000 [V116],( LEN( rightsHolder ) <= 4000 ),FIELD,BLOCKER,false,true,true
dcMetadata,title,V117,V117,The length of the value must be <= 4000,The length of the value must be <= 4000 [V117],( LEN( title ) <= 4000 ),FIELD,BLOCKER,false,true,true
Document,documentCode,V118,V118,Checks if the field is missing or empty,The value must not be missing or empty [V118],,FIELD,BLOCKER,true,true,true
Document,,TU101,TU101,Checks if documentCode is unique within table,The field documentCode is unique within table. [TU101],,TABLE,BLOCKER,true,true,true
Document,documentName,V119,V119,Checks if the field is missing or empty,The value must not be missing or empty [V119],,FIELD,BLOCKER,true,true,true
Document,hyperlink,V120,V120,Checks if the field is a valid URL,The value does not follow the expected syntax for a valid URL [V120],,FIELD,BLOCKER,true,true,true
Document,documentName,V121,V121,The length of the value must be <= 50,The length of the value must be <= 50 [V121],( LEN( documentName ) <= 50 ),FIELD,BLOCKER,false,true,true
Document,hyperlink,R101,R101,"Either hyperlink or documentFile must be reported, but not both","Either hyperlink or documentFile must be reported, but not both [R101]","SELECT  record_id
FROM    dataset_46377.Document D
WHERE   (
            (coalesce(D.hyperlink, '') <> '' AND coalesce(D.documentFile, '') <> '')
            OR
            (coalesce(D.hyperlink, '') = '' AND coalesce(D.documentFile, '') = '')
        )
",RECORD,BLOCKER,false,true,true
dcMetadata,licenseDocument,V125,V125,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list.[V125],,FIELD,BLOCKER,true,true,true
dcMetadata,metadataDocument,V126,V126,Checks if the record based on criteria is valid LINK,The value is not a valid member of the referenced list. [V126],,FIELD,BLOCKER,true,true,true
