Table,Field,Code,QC Name,QC Description,Message,Expression,Type of QC,Severity Level,Creation Mode,Status,Valid
ProtectedArea,,TU001,Mandatory table records check (TU001),"When a table is marked as mandatory, checks at least one record is added  [TU001]",Mandatory table has no records [TU001],,TABLE,BLOCKER,true,true,true
ProtectedArea,thematicIdIdentifier,V024,V024,Checks if the field is missing or empty,The value must not be missing or empty [V024],,FIELD,BLOCKER,true,true,true
ProtectedArea,legalBasisLink,V012,V012,Checks if the field is a valid URL,The legalBasisLink value must be a valid URL [V012],,FIELD,BLOCKER,true,true,true
ProtectedArea,link,V014,V014,Checks if the field is a valid URL,The link value must be a valid URL. [V014],,FIELD,BLOCKER,true,true,true
ProtectedArea,thematicIdIdentifier,V005,V005,The thematicIdIdentifier value must be a string starting with the 2-letter country code. Upper case letters (A to Z) and digits (0 to 9) are allowed in the remaining part (the hifen and the underscore can be used as non-consecutive separators),The thematicIdIdentifier value must be a string starting with the 2-letter country code. Upper case letters (A to Z) and digits (0 to 9) are allowed in the remaining part (the hifen and the underscore can be used as non-consecutive separators) [V005],"( thematicIdIdentifier MATCH ""^{%R3_COUNTRY_CODE%}[0-9A-Z]{1}(([0-9A-Z]|\-(?![\-_])|_(?![\-_])){0,38}[0-9A-Z]{1}){0,1}$"" )",FIELD,BLOCKER,false,true,true
ProtectedArea,thematicIdIdentifierScheme,V052,V052,WFD thematic identifiers must be used for all spatial objects,WFD thematic identifiers must be used for all spatial objects [V052],"SELECT *
FROM dataset_46374.""protectedarea"" PA
WHERE COALESCE(""thematicididentifierscheme"",'') not like 'eu%'


",FIELD,BLOCKER,false,true,true
ProtectedArea,predecessorsIdentifierScheme,V053,V053,WFD thematic identifiers must be used for all spatial objects,WFD thematic identifiers must be used for all spatial objects [V053],"SELECT *
FROM dataset_46374.""protectedarea"" PA
WHERE COALESCE(""predecessorsidentifierscheme"",'') not like 'eu%'
",FIELD,BLOCKER,false,true,true
ProtectedArea,relatedZoneIdentifierScheme,V055,V055,WFD thematic identifiers must be used for all spatial objects,WFD thematic identifiers must be used for all spatial objects [V055],"SELECT p.*
FROM dataset_46374.""protectedarea"" AS p
JOIN dataset_46376.""country"" AS c
    ON LEFT(p.""thematicIdIdentifier"", 2) = c.""countryCode""
WHERE
(
    c.""reportingtype"" = 'WFD'
    AND COALESCE(p.""relatedzoneidentifierscheme"", '') NOT LIKE 'eu%'
)
",FIELD,BLOCKER,false,true,true
ProtectedArea,predecessorsIdentifier,RF008,RF008,The object has a predecessor that does not exist in the register,The object has a predecessor that does not exist in the register [RF008],"WITH predecessors 
AS (
	SELECT TRIM(FLATTEN(REGEXP_SPLIT(PA.predecessorsidentifier, ',', 'ALL', 999))) AS predecessor 
		,PA.thematicididentifier
		,PA.thematicididentifierscheme
		,PA.predecessorsidentifierscheme
		,PA.record_id
		,PA.wiseEvolutionType
	FROM dataset_46374.""protectedarea"" PA
	WHERE COALESCE(PA.""predecessorsidentifier"", '') <> ''
	
	)
SELECT DISTINCT predecessors.record_id
FROM predecessors

LEFT JOIN dataset_46376.""protectedarea"" RF ON RF.thematicididentifier = predecessors.predecessor 
	AND RF.thematicididentifierscheme = predecessors.predecessorsidentifierscheme
WHERE (
		(COALESCE(RF.thematicIdIdentifier, '') = '')
		OR (
		COALESCE(RF.thematicIdIdentifier, '') <> ''
			
			AND RF.statusCode = 'superseded'
			)
		)
	AND predecessors.wiseEvolutionType <> 'deletion'",FIELD,BLOCKER,false,true,true
ProtectedArea,inspireIdLocalId,V002,V002,The inspireIdLocalId value must be a non-empty string with less than 255 characters,The inspireIdLocalId value must be a non-empty string with less than 255 characters [V002],( LEN( inspireIdLocalId ) < 255 ),FIELD,BLOCKER,false,true,true
